Time	cycle	Idle	Open	Setup	TotalWork	Lateness	OEE	New
153119	952.3556597	56.87375	68	15.33	29.71	-2813.376758	37.14	0
153360	952.2279412	46.43791667	75	16.16	30.14	-2813.015709	37.68	13
153600	951.8661102	35.56391304	72	15.42	32.94	-2812.169282	41.35	0
153840	951.6503333	26.68875	71	13.85	29.04	-2813.774	36.3	4
154080	952.2801997	39.71695652	66	14.9	26.58	-2814.84193	33.23	0
154320	951.9371884	32.44958333	72	12.5	20.25	-2814.37122	25.31	10
154560	951.8595618	41.94875	69	17	27.69	-2813.596282	34.61	0
154799	951.7775936	29.70136364	71	14.75	21.13	-2812.654292	26.41	7
155040	951.5047966	50.04521739	65	16.33	24.17	-2812.840225	30.21	0
155280	951.242074	32.5725	68	13	28.81	-2812.025429	36.3	8
155520	951.8056013	47.53565217	61	14.79	28.69	-2813.447117	35.86	0
155759	951.828722	55.11608696	74	16.05	28.45	-2814.098814	35.56	14
156000	952.6986526	65.79086957	67	12.14	32.08	-2815.289517	40.09	0
156240	952.7363756	62.35666667	76	15.44	36.35	-2816.668089	45.44	12
156479	952.6721258	56.64125	69	15.8	46.15	-2814.484769	57.69	0
156719	952.5470896	40.16083333	70	16.12	35.94	-2815.350229	44.92	6
156959	952.1058132	55.29583333	66	14.44	35.73	-2817.082952	44.66	0
157199	951.7228562	42.6173913	78	17.83	33.6	-2816.784154	42.01	17
157439	951.8504551	43.97043478	69	17	41.35	-2817.23407	51.69	0
157680	951.6848603	37.40608696	76	16	36.62	-2816.635153	45.77	9
157919	951.6240675	42.48791667	71	15.67	33.22	-2816.499838	41.53	0
158160	951.7298348	39.82666667	75	15.06	26.1	-2815.968254	32.62	8
158400	951.5412488	23.66304348	71	15.29	23.6	-2814.789712	29.51	0
158639	951.2918012	17.84727273	67	13.05	15.19	-2813.001614	18.99	3
158880	951.5245003	27.97913043	63	9.63	13.63	-2812.188266	17.04	0
159119	951.4806825	29.385	66	8.12	10.23	-2811.184482	12.79	7
159360	951.6149148	29.10208333	61	12.82	20.54	-2809.012536	25.67	0
159599	951.5581246	30.065	68	10.48	19.25	-2808.457932	24.06	10
159840	952.1842358	39.87086957	61	13.84	24.38	-2808.989106	30.47	0
160079	952.84256	27.48434783	66	11.86	24.41	-2809.17088	30.52	9
160320	952.4952077	34.035	61	17.12	26.02	-2807.21278	32.52	0
160560	952.66145	21.50826087	66	15.06	25.12	-2807.257426	31.41	6
160800	952.318037	42.3575	59	13.92	21.83	-2807.330465	27.42	0
161039	952.0015893	29.35818182	61	11.51	20.42	-2805.595359	25.52	10
161280	951.5348763	54.21291667	53	15.23	33.05	-2804.501585	41.31	0
161520	952.0139196	33.42666667	53	14.77	27.19	-2806.995255	34.3	7
161760	952.0593997	52.16	49	14.67	23.94	-2807.293523	29.92	0
161999	952.0685407	35.745	60	16.11	35.48	-2806.920088	44.35	12
162239	952.1016735	45.93608696	59	14.77	32.06	-2807.426271	40.08	0
162480	952.175339	34.53333333	59	16.47	28.67	-2808.58152	35.84	4
162720	951.9508816	52.71083333	54	12.56	26.23	-2808.653967	32.79	0
162960	952.0745987	38.90695652	65	15.83	27.56	-2809.288637	34.45	12
163200	951.9974851	55.57041667	61	15.19	30.02	-2810.907576	37.53	0
163439	951.8438089	49.50208333	76	16.13	35.84	-2810.925833	44.8	16
163680	951.5819724	53.24416667	74	15.6	44.9	-2810.601759	56.12	0
163919	951.1524467	54.57291667	80	14.27	36.17	-2810.407465	45.21	10
164160	951.0059542	52.02833333	77	16.14	33.13	-2810.748982	41.42	0
164400	950.7696401	40.49541667	84	15.98	35.56	-2810.194366	44.51	11
164639	950.3337496	44.795	76	16.84	44.14	-2810.754293	55.18	0
164880	949.776808	37.49208333	77	15.95	31.02	-2810.904613	38.77	6
165120	950.2902925	56.92833333	71	13.77	27.6	-2810.641879	34.58	0
165360	950.1812247	29.6173913	77	15.42	25.38	-2810.27852	31.72	9
165599	950.0835144	39.3873913	73	16.48	24.52	-2809.35548	30.65	0
165839	949.9101611	28.63869565	72	14.33	30.52	-2811.512392	38.36	6
166079	949.884901	44.12291667	68	14.75	24.42	-2810.621906	30.52	0
166320	949.8519778	31.04043478	71	12.26	24.79	-2809.516996	30.99	7
166559	950.2328091	47.50708333	64	15.48	26.36	-2808.361085	32.95	0
166800	951.018775	39.36	71	13.4	30.89	-2809.164358	38.62	13
167039	951.47543	52.94333333	64	16.53	30.29	-2808.161855	37.87	0
167280	951.7372621	34.83434783	75	17.26	27.95	-2808.358809	34.93	13
167520	951.8531125	57.95916667	72	14.25	37.12	-2808.101196	46.41	0
167759	952.1593137	45.66458333	81	17.55	38.03	-2809.892157	47.54	12
168000	952.0581217	55.68166667	76	15.73	32.14	-2811.604466	40.17	0
168239	952.0709046	52.7126087	87	15.65	38.54	-2811.993888	48.35	14
168479	952.3177656	58.90041667	83	15.52	40.56	-2812.453602	50.96	0
168720	952.0332013	42.93291667	89	16.72	44.42	-2811.492233	55.65	13
168959	951.9695956	73.7925	83	16.65	41.8	-2810.979325	52.25	0
169200	952.08136	58.37869565	93	16.43	44.56	-2808.922587	55.71	15
169440	952.2196602	62.53458333	91	14.56	40.96	-2808.227549	51.2	0
169679	952.3807937	45.53782609	96	17.82	45	-2807.655559	56.25	10
169919	952.3248639	62.60043478	91	14.44	44.08	-2807.960375	55.29	0
170159	952.247208	45.77375	100	15.62	39.71	-2807.268337	49.64	16
170399	952.6242844	41.98333333	94	15.81	38.73	-2806.301597	48.41	0
170639	953.2914286	37.84166667	93	16.81	35.12	-2805.755789	43.93	5
170880	953.988006	46.28791667	83	15.5	30.39	-2806.205697	38.17	0
171120	953.8802395	36.91208333	89	12.46	27.62	-2806.02515	34.74	11
171359	954.4318589	49.91090909	83	14.87	31	-2805.331739	38.76	0
171600	954.6477612	34.1225	89	13.53	28.07	-2804.721194	35.09	10
171840	954.6628979	55.41833333	78	14.48	30.35	-2802.539423	37.94	0
172079	955.2055242	34.19375	80	16.15	34.41	-2801.825364	43.02	8
172320	955.9130822	50.66173913	76	16.14	27.43	-2802.131118	34.28	0
172559	956.0959716	36.60041667	83	13.79	32.87	-2801.708235	41.08	12
172800	956.3141842	36.6125	82	15.62	32.3	-2801.581285	40.38	0
173039	957.382049	20.75681818	77	16.97	28.24	-2802.626808	35.3	5
173280	958.1135693	43.03782609	74	14.71	24.61	-2803.486431	30.76	0
173519	958.0831123	32.1	80	11.26	20.15	-2802.774241	25.18	9
173760	958.4958799	51.52041667	75	14.32	24.96	-2804.247204	31.2	0
173999	958.8599119	31.63181818	78	14.54	26.82	-2805.439354	33.53	10
174239	958.9173747	60.11130435	70	15.81	34.23	-2805.170817	42.79	0
174479	959.1763158	47.93	74	14.1	38.23	-2805.525439	47.79	11
174719	959.5131195	47.61708333	64	15.1	34.44	-2807.100583	43.05	0
174959	959.4301107	35.47625	68	15.9	34.62	-2805.99505	43.28	8
175200	959.5304044	33.25434783	65	15.75	35.37	-2806.130637	44.22	0
